#N_{tot} = 10^5
## X	 |Y	 |N
0.0001500500	(0.05742320)	0
0.0001500500	(0.05242320)	0
0.0001500500	(0.04742320)	1.000000
0.0001500500	(0.04242320)	0
0.0001500500	(0.03742320)	1.000000
0.0001500500	(0.03242320)	0
0.0001500500	(0.02742320)	1.000000
0.0001500500	(0.02242320)	1.000000
0.0001500500	(0.01742320)	2.000000
0.0001500500	(0.01242320)	0
0.0001500500	(0.007423200)	2.000000
0.0001500500	(0.002423200)	33.00000
0.0001500500	0.002576800	25.00000
0.0001500500	0.007576800	2.000000
0.0001500500	0.01257680	3.000000
0.0001500500	0.01757680	0
0.0001500500	0.02257680	3.000000
0.0001500500	0.02757680	0
0.0001500500	0.03257680	0
0.0001500500	0.03757680	0
0.0001500500	0.04257680	0
0.0001500500	0.04757680	0
0.0001500500	0.05257680	0
0.0006500500	(0.05742320)	0
0.0006500500	(0.05242320)	1.000000
0.0006500500	(0.04742320)	2.000000
0.0006500500	(0.04242320)	2.000000
0.0006500500	(0.03742320)	0
0.0006500500	(0.03242320)	0
0.0006500500	(0.02742320)	1.000000
0.0006500500	(0.02242320)	0
0.0006500500	(0.01742320)	0
0.0006500500	(0.01242320)	2.000000
0.0006500500	(0.007423200)	5.000000
0.0006500500	(0.002423200)	5.000000
0.0006500500	0.002576800	7.000000
0.0006500500	0.007576800	3.000000
0.0006500500	0.01257680	0
0.0006500500	0.01757680	2.000000
0.0006500500	0.02257680	0
0.0006500500	0.02757680	0
0.0006500500	0.03257680	0
0.0006500500	0.03757680	0
0.0006500500	0.04257680	0
0.0006500500	0.04757680	1.000000
0.0006500500	0.05257680	0
0.001150050	(0.05742320)	0
0.001150050	(0.05242320)	3.000000
0.001150050	(0.04742320)	0
0.001150050	(0.04242320)	0
0.001150050	(0.03742320)	0
0.001150050	(0.03242320)	1.000000
0.001150050	(0.02742320)	1.000000
0.001150050	(0.02242320)	0
0.001150050	(0.01742320)	6.000000
0.001150050	(0.01242320)	1.000000
0.001150050	(0.007423200)	5.000000
0.001150050	(0.002423200)	8.000000
0.001150050	0.002576800	12.00000
0.001150050	0.007576800	4.000000
0.001150050	0.01257680	4.000000
0.001150050	0.01757680	3.000000
0.001150050	0.02257680	4.000000
0.001150050	0.02757680	1.000000
0.001150050	0.03257680	0
0.001150050	0.03757680	0
0.001150050	0.04257680	1.000000
0.001150050	0.04757680	4.000000
0.001150050	0.05257680	1.000000
0.001650050	(0.05742320)	1.000000
0.001650050	(0.05242320)	2.000000
0.001650050	(0.04742320)	0
0.001650050	(0.04242320)	1.000000
0.001650050	(0.03742320)	1.000000
0.001650050	(0.03242320)	1.000000
0.001650050	(0.02742320)	1.000000
0.001650050	(0.02242320)	0
0.001650050	(0.01742320)	1.000000
0.001650050	(0.01242320)	4.000000
0.001650050	(0.007423200)	11.00000
0.001650050	(0.002423200)	21.00000
0.001650050	0.002576800	18.00000
0.001650050	0.007576800	7.000000
0.001650050	0.01257680	10.00000
0.001650050	0.01757680	7.000000
0.001650050	0.02257680	0
0.001650050	0.02757680	0
0.001650050	0.03257680	0
0.001650050	0.03757680	0
0.001650050	0.04257680	0
0.001650050	0.04757680	1.000000
0.001650050	0.05257680	2.000000
0.002150050	(0.05742320)	0
0.002150050	(0.05242320)	0
0.002150050	(0.04742320)	4.000000
0.002150050	(0.04242320)	0
0.002150050	(0.03742320)	1.000000
0.002150050	(0.03242320)	1.000000
0.002150050	(0.02742320)	0
0.002150050	(0.02242320)	3.000000
0.002150050	(0.01742320)	1.000000
0.002150050	(0.01242320)	20.00000
0.002150050	(0.007423200)	20.00000
0.002150050	(0.002423200)	56.00000
0.002150050	0.002576800	42.00000
0.002150050	0.007576800	21.00000
0.002150050	0.01257680	6.000000
0.002150050	0.01757680	6.000000
0.002150050	0.02257680	1.000000
0.002150050	0.02757680	0
0.002150050	0.03257680	1.000000
0.002150050	0.03757680	0
0.002150050	0.04257680	1.000000
0.002150050	0.04757680	1.000000
0.002150050	0.05257680	0
0.002650050	(0.05742320)	0
0.002650050	(0.05242320)	0
0.002650050	(0.04742320)	1.000000
0.002650050	(0.04242320)	0
0.002650050	(0.03742320)	1.000000
0.002650050	(0.03242320)	0
0.002650050	(0.02742320)	1.000000
0.002650050	(0.02242320)	2.000000
0.002650050	(0.01742320)	8.000000
0.002650050	(0.01242320)	28.00000
0.002650050	(0.007423200)	48.00000
0.002650050	(0.002423200)	1790.000
0.002650050	0.002576800	1412.000
0.002650050	0.007576800	59.00000
0.002650050	0.01257680	8.000000
0.002650050	0.01757680	4.000000
0.002650050	0.02257680	2.000000
0.002650050	0.02757680	1.000000
0.002650050	0.03257680	0
0.002650050	0.03757680	0
0.002650050	0.04257680	0
0.002650050	0.04757680	0
0.002650050	0.05257680	1.000000
0.003150050	(0.05742320)	3.000000
0.003150050	(0.05242320)	1.000000
0.003150050	(0.04742320)	0
0.003150050	(0.04242320)	0
0.003150050	(0.03742320)	1.000000
0.003150050	(0.03242320)	2.000000
0.003150050	(0.02742320)	2.000000
0.003150050	(0.02242320)	8.000000
0.003150050	(0.01742320)	8.000000
0.003150050	(0.01242320)	19.00000
0.003150050	(0.007423200)	73.00000
0.003150050	(0.002423200)	2448.000
0.003150050	0.002576800	1976.000
0.003150050	0.007576800	58.00000
0.003150050	0.01257680	18.00000
0.003150050	0.01757680	6.000000
0.003150050	0.02257680	5.000000
0.003150050	0.02757680	2.000000
0.003150050	0.03257680	1.000000
0.003150050	0.03757680	0
0.003150050	0.04257680	9.000000
0.003150050	0.04757680	0
0.003150050	0.05257680	4.000000
0.003650050	(0.05742320)	4.000000
0.003650050	(0.05242320)	0
0.003650050	(0.04742320)	2.000000
0.003650050	(0.04242320)	1.000000
0.003650050	(0.03742320)	0
0.003650050	(0.03242320)	1.000000
0.003650050	(0.02742320)	1.000000
0.003650050	(0.02242320)	2.000000
0.003650050	(0.01742320)	8.000000
0.003650050	(0.01242320)	8.000000
0.003650050	(0.007423200)	52.00000
0.003650050	(0.002423200)	603.0000
0.003650050	0.002576800	506.0000
0.003650050	0.007576800	32.00000
0.003650050	0.01257680	10.00000
0.003650050	0.01757680	8.000000
0.003650050	0.02257680	15.00000
0.003650050	0.02757680	5.000000
0.003650050	0.03257680	2.000000
0.003650050	0.03757680	1.000000
0.003650050	0.04257680	1.000000
0.003650050	0.04757680	1.000000
0.003650050	0.05257680	2.000000
0.004150050	(0.05742320)	1.000000
0.004150050	(0.05242320)	2.000000
0.004150050	(0.04742320)	2.000000
0.004150050	(0.04242320)	3.000000
0.004150050	(0.03742320)	6.000000
0.004150050	(0.03242320)	2.000000
0.004150050	(0.02742320)	1.000000
0.004150050	(0.02242320)	2.000000
0.004150050	(0.01742320)	0
0.004150050	(0.01242320)	6.000000
0.004150050	(0.007423200)	26.00000
0.004150050	(0.002423200)	51.00000
0.004150050	0.002576800	30.00000
0.004150050	0.007576800	13.00000
0.004150050	0.01257680	8.000000
0.004150050	0.01757680	3.000000
0.004150050	0.02257680	2.000000
0.004150050	0.02757680	1.000000
0.004150050	0.03257680	5.000000
0.004150050	0.03757680	1.000000
0.004150050	0.04257680	0
0.004150050	0.04757680	2.000000
0.004150050	0.05257680	2.000000
0.004650050	(0.05742320)	5.000000
0.004650050	(0.05242320)	0
0.004650050	(0.04742320)	2.000000
0.004650050	(0.04242320)	1.000000
0.004650050	(0.03742320)	0
0.004650050	(0.03242320)	2.000000
0.004650050	(0.02742320)	3.000000
0.004650050	(0.02242320)	5.000000
0.004650050	(0.01742320)	6.000000
0.004650050	(0.01242320)	8.000000
0.004650050	(0.007423200)	7.000000
0.004650050	(0.002423200)	26.00000
0.004650050	0.002576800	13.00000
0.004650050	0.007576800	12.00000
0.004650050	0.01257680	7.000000
0.004650050	0.01757680	0
0.004650050	0.02257680	2.000000
0.004650050	0.02757680	1.000000
0.004650050	0.03257680	1.000000
0.004650050	0.03757680	0
0.004650050	0.04257680	1.000000
0.004650050	0.04757680	1.000000
0.004650050	0.05257680	0
0.005150050	(0.05742320)	0
0.005150050	(0.05242320)	0
0.005150050	(0.04742320)	0
0.005150050	(0.04242320)	0
0.005150050	(0.03742320)	1.000000
0.005150050	(0.03242320)	3.000000
0.005150050	(0.02742320)	0
0.005150050	(0.02242320)	2.000000
0.005150050	(0.01742320)	7.000000
0.005150050	(0.01242320)	1.000000
0.005150050	(0.007423200)	2.000000
0.005150050	(0.002423200)	13.00000
0.005150050	0.002576800	4.000000
0.005150050	0.007576800	5.000000
0.005150050	0.01257680	4.000000
0.005150050	0.01757680	2.000000
0.005150050	0.02257680	6.000000
0.005150050	0.02757680	0
0.005150050	0.03257680	1.000000
0.005150050	0.03757680	0
0.005150050	0.04257680	0
0.005150050	0.04757680	1.000000
0.005150050	0.05257680	1.000000
0.005650050	(0.05742320)	0
0.005650050	(0.05242320)	1.000000
0.005650050	(0.04742320)	0
0.005650050	(0.04242320)	2.000000
0.005650050	(0.03742320)	2.000000
0.005650050	(0.03242320)	1.000000
0.005650050	(0.02742320)	3.000000
0.005650050	(0.02242320)	2.000000
0.005650050	(0.01742320)	3.000000
0.005650050	(0.01242320)	6.000000
0.005650050	(0.007423200)	4.000000
0.005650050	(0.002423200)	3.000000
0.005650050	0.002576800	2.000000
0.005650050	0.007576800	9.000000
0.005650050	0.01257680	3.000000
0.005650050	0.01757680	1.000000
0.005650050	0.02257680	3.000000
0.005650050	0.02757680	1.000000
0.005650050	0.03257680	1.000000
0.005650050	0.03757680	0
0.005650050	0.04257680	1.000000
0.005650050	0.04757680	0
0.005650050	0.05257680	1.000000
0.006150050	(0.05742320)	0
0.006150050	(0.05242320)	3.000000
0.006150050	(0.04742320)	1.000000
0.006150050	(0.04242320)	0
0.006150050	(0.03742320)	0
0.006150050	(0.03242320)	0
0.006150050	(0.02742320)	0
0.006150050	(0.02242320)	5.000000
0.006150050	(0.01742320)	2.000000
0.006150050	(0.01242320)	2.000000
0.006150050	(0.007423200)	4.000000
0.006150050	(0.002423200)	5.000000
0.006150050	0.002576800	11.00000
0.006150050	0.007576800	6.000000
0.006150050	0.01257680	3.000000
0.006150050	0.01757680	3.000000
0.006150050	0.02257680	2.000000
0.006150050	0.02757680	4.000000
0.006150050	0.03257680	0
0.006150050	0.03757680	1.000000
0.006150050	0.04257680	3.000000
0.006150050	0.04757680	0
0.006150050	0.05257680	0
0.006650050	(0.05742320)	0
0.006650050	(0.05242320)	1.000000
0.006650050	(0.04742320)	2.000000
0.006650050	(0.04242320)	1.000000
0.006650050	(0.03742320)	1.000000
0.006650050	(0.03242320)	0
0.006650050	(0.02742320)	4.000000
0.006650050	(0.02242320)	1.000000
0.006650050	(0.01742320)	3.000000
0.006650050	(0.01242320)	6.000000
0.006650050	(0.007423200)	6.000000
0.006650050	(0.002423200)	6.000000
0.006650050	0.002576800	9.000000
0.006650050	0.007576800	13.00000
0.006650050	0.01257680	7.000000
0.006650050	0.01757680	5.000000
0.006650050	0.02257680	3.000000
0.006650050	0.02757680	0
0.006650050	0.03257680	6.000000
0.006650050	0.03757680	1.000000
0.006650050	0.04257680	2.000000
0.006650050	0.04757680	2.000000
0.006650050	0.05257680	1.000000
0.007150050	(0.05742320)	1.000000
0.007150050	(0.05242320)	3.000000
0.007150050	(0.04742320)	0
0.007150050	(0.04242320)	0
0.007150050	(0.03742320)	4.000000
0.007150050	(0.03242320)	1.000000
0.007150050	(0.02742320)	3.000000
0.007150050	(0.02242320)	6.000000
0.007150050	(0.01742320)	7.000000
0.007150050	(0.01242320)	6.000000
0.007150050	(0.007423200)	11.00000
0.007150050	(0.002423200)	22.00000
0.007150050	0.002576800	12.00000
0.007150050	0.007576800	9.000000
0.007150050	0.01257680	2.000000
0.007150050	0.01757680	3.000000
0.007150050	0.02257680	2.000000
0.007150050	0.02757680	2.000000
0.007150050	0.03257680	0
0.007150050	0.03757680	0
0.007150050	0.04257680	0
0.007150050	0.04757680	1.000000
0.007150050	0.05257680	1.000000
0.007650050	(0.05742320)	4.000000
0.007650050	(0.05242320)	2.000000
0.007650050	(0.04742320)	0
0.007650050	(0.04242320)	1.000000
0.007650050	(0.03742320)	2.000000
0.007650050	(0.03242320)	6.000000
0.007650050	(0.02742320)	4.000000
0.007650050	(0.02242320)	4.000000
0.007650050	(0.01742320)	7.000000
0.007650050	(0.01242320)	9.000000
0.007650050	(0.007423200)	9.000000
0.007650050	(0.002423200)	15.00000
0.007650050	0.002576800	23.00000
0.007650050	0.007576800	14.00000
0.007650050	0.01257680	3.000000
0.007650050	0.01757680	4.000000
0.007650050	0.02257680	3.000000
0.007650050	0.02757680	5.000000
