#N_{tot} = 10^5
## X	 |N
0.01401686	2149.644
0.02401686	1208.334
0.03401686	195.9461
0.04401686	145.9991
0.05401686	195.9461
0.06401686	1671.305
0.07401686	4063.000
0.08401686	178.6567
0.09401686	182.4988
0.1040169	138.3149
0.1140169	144.0000
0.1240169	4063.000
0.1340169	3702.000
0.1440169	524.0000
0.1540169	76.00000
0.1640169	50.00000
0.1740169	56.00000
0.1840169	26.00000
0.1940169	13.00000
0.2040169	6.000000
0.2140169	3.000000
0.2240169	6.000000
0.2340169	22.00000
0.2440169	13.00000
