# E (MeV)|Geant_Asym|Physics_Asym
0.03500000000               -6
2.253886637 10               -6
2.080000000 10
0.03800000000               -6
2.419472918 10               -6
2.290000000 10
0.04100000000               -6
2.584532698 10               -6
2.500000000 10
0.04500000000               -6
2.749068136 10               -6
2.700000000 10
0.04800000000               -6
2.913081383 10               -6
2.910000000 10
0.05100000000               -6
3.076574583 10               -6
3.110000000 10
0.05500000000               -6
3.239549875 10               -6
3.310000000 10
0.05800000000               -6
3.402009391 10               -6
3.510000000 10
0.06100000000               -6
3.563955256 10               -6
3.710000000 10
0.06400000000               -6
3.725389590 10               -6
3.910000000 10
0.06800000000               -6
3.886314505 10               -6
4.100000000 10
0.07100000000               -6
4.046732108 10               -6
4.300000000 10
0.07400000000               -6
4.206644499 10               -6
4.490000000 10
0.07800000000               -6
4.366053772 10               -6
4.680000000 10
0.08100000000               -6
4.524962013 10               -6
4.870000000 10
0.08400000000               -6
4.683371305 10               -6
5.060000000 10
0.08800000000               -6
4.841283721 10               -6
5.250000000 10
0.09100000000               -6
4.998701330 10               -6
5.430000000 10
0.09400000000               -6
5.155626195 10               -6
5.620000000 10
0.09800000000               -6
5.312060370 10               -6
5.800000000 10
0.1010000000               -6
5.468005906 10               -6
5.980000000 10
0.1040000000               -6
5.623464846 10               -6
6.160000000 10
0.1070000000               -6
5.778439226 10               -6
6.340000000 10
0.1110000000               -6
5.932931078 10               -6
6.520000000 10
0.1140000000               -6
6.086942425 10               -6
6.700000000 10
0.1170000000               -6
6.240475287 10               -6
6.870000000 10
0.1210000000               -6
6.393531675 10               -6
7.050000000 10
0.1240000000               -6
6.546113594 10               -6
7.220000000 10
0.1270000000               -6
6.698223045 10               -6
7.400000000 10
0.1310000000               -6
6.849862021 10               -6
7.570000000 10
0.1340000000               -6
7.001032509 10               -6
7.740000000 10
0.1370000000               -6
7.151736489 10               -6
7.910000000 10
0.1410000000               -6
7.301975938 10               -6
8.080000000 10
0.1440000000               -6
7.451752823 10               -6
8.240000000 10
0.1470000000               -6
7.601069107 10               -6
8.410000000 10
0.1500000000               -6
7.749926746 10               -6
8.580000000 10
0.1540000000               -6
7.898327690 10               -6
8.740000000 10
0.1570000000               -6
8.046273885 10               -6
8.910000000 10
0.1600000000               -6
8.193767267 10               -6
9.070000000 10
0.1640000000               -6
8.340809768 10               -6
9.230000000 10
0.1670000000               -6
8.487403315 10               -6
9.390000000 10
0.1700000000               -6
8.633549827 10               -6
9.560000000 10
0.1740000000               -6
8.779251218 10               -6
9.720000000 10
0.1770000000               -6
8.924509395 10               -6
9.870000000 10
0.1800000000               -6
9.069326260 10 0.00001000000000
0.1840000000               -6
9.213703708 10 0.00001020000000
0.1870000000               -6
9.357643629 10 0.00001030000000
0.1900000000               -6
9.501147906 10 0.00001050000000
0.1930000000               -6
9.644218416 10 0.00001070000000
0.1970000000               -6
9.786857032 10 0.00001080000000
0.2000000000               -6
9.929065617 10 0.00001100000000
0.2030000000 0.00001007084603 0.00001110000000
0.2070000000 0.00001021220013 0.00001130000000
0.2100000000 0.00001035312976 0.00001140000000
0.2130000000 0.00001049363676 0.00001160000000
0.2170000000 0.00001063372297 0.00001170000000
0.2200000000 0.00001077339022 0.00001190000000
0.2230000000 0.00001091264032 0.00001200000000
0.2270000000 0.00001105147511 0.00001220000000
0.2300000000 0.00001118989639 0.00001230000000
0.2330000000 0.00001132790596 0.00001250000000
0.2360000000 0.00001146550563 0.00001260000000
0.2400000000 0.00001160269719 0.00001280000000
0.2430000000 0.00001173948243 0.00001290000000
0.2460000000 0.00001187586313 0.00001310000000
0.2500000000 0.00001201184107 0.00001320000000
0.2530000000 0.00001214741801 0.00001330000000
0.2560000000 0.00001228259573 0.00001350000000
0.2600000000 0.00001241737599 0.00001360000000
0.2630000000 0.00001255176052 0.00001380000000
0.2660000000 0.00001268575110 0.00001390000000
0.2700000000 0.00001281934944 0.00001410000000
0.2730000000 0.00001295255730 0.00001420000000
0.2760000000 0.00001308537640 0.00001430000000
0.2790000000 0.00001321780847 0.00001450000000
0.2830000000 0.00001334985521 0.00001460000000
0.2860000000 0.00001348151836 0.00001480000000
0.2890000000 0.00001361279961 0.00001490000000
0.2930000000 0.00001374370066 0.00001500000000
0.2960000000 0.00001387422321 0.00001520000000
0.2990000000 0.00001400436896 0.00001530000000
0.3030000000 0.00001413413958 0.00001550000000
0.3060000000 0.00001426353675 0.00001560000000
0.3090000000 0.00001439256215 0.00001570000000
0.3130000000 0.00001452121744 0.00001590000000
0.3160000000 0.00001464950429 0.00001600000000
0.3190000000 0.00001477742435 0.00001610000000
0.3220000000 0.00001490497926 0.00001630000000
0.3260000000 0.00001503217069 0.00001640000000
0.3290000000 0.00001515900026 0.00001650000000
0.3320000000 0.00001528546960 0.00001670000000
0.3360000000 0.00001541158036 0.00001680000000
0.3390000000 0.00001553733414 0.00001690000000
0.3420000000 0.00001566273256 0.00001710000000
0.3460000000 0.00001578777724 0.00001720000000
0.3490000000 0.00001591246978 0.00001730000000
0.3520000000 0.00001603681178 0.00001740000000
0.3560000000 0.00001616080483 0.00001760000000
0.3590000000 0.00001628445053 0.00001770000000
0.3620000000 0.00001640775046 0.00001780000000
0.3650000000 0.00001653070619 0.00001800000000
0.3690000000 0.00001665331929 0.00001810000000
0.3720000000 0.00001677559135 0.00001820000000
0.3750000000 0.00001689752390 0.00001830000000
0.3790000000 0.00001701911852 0.00001850000000
0.3820000000 0.00001714037674 0.00001860000000
0.3850000000 0.00001726130013 0.00001870000000
0.3890000000 0.00001738189020 0.00001890000000
0.3920000000 0.00001750214851 0.00001900000000
0.3950000000 0.00001762207657 0.00001910000000
0.3990000000 0.00001774167592 0.00001920000000
0.4020000000 0.00001786094806 0.00001940000000
0.4050000000 0.00001797989451 0.00001950000000
0.4080000000 0.00001809851678 0.00001960000000
0.4120000000 0.00001821681637 0.00001970000000
0.4150000000 0.00001833479478 0.00001980000000
0.4180000000 0.00001845245349 0.00002000000000
0.4220000000 0.00001856979399 0.00002010000000
0.4250000000 0.00001868681776 0.00002020000000
0.4280000000 0.00001880352628 0.00002030000000
0.4320000000 0.00001891992102 0.00002050000000
0.4350000000 0.00001903600343 0.00002060000000
0.4380000000 0.00001915177498 0.00002070000000
0.4420000000 0.00001926723712 0.00002080000000
0.4450000000 0.00001938239131 0.00002090000000
0.4480000000 0.00001949723897 0.00002110000000
0.4510000000 0.00001961178156 0.00002120000000
0.4550000000 0.00001972602050 0.00002130000000
0.4580000000 0.00001983995722 0.00002140000000
0.4610000000 0.00001995359314 0.00002150000000
0.4650000000 0.00002006692967 0.00002160000000
0.4680000000 0.00002017996824 0.00002180000000
0.4710000000 0.00002029271025 0.00002190000000
0.4750000000 0.00002040515709 0.00002200000000
0.4780000000 0.00002051731017 0.00002210000000
0.4810000000 0.00002062917087 0.00002220000000
