        12
N(e)= 10  , B    =4T, E    =12GeV, \[CapitalDelta]\[Theta] = 10mrad
             wrig      beam
# E (MeV)	 |SRPower (mW/MeV)|SLPower (mW/MeV) X 50k
0.001000000000	785.5180000	2.245559772
0.04100000000	9386.622000	1077.005915
0.08100000000	11232.75600	2493.397100
0.1210000000	11515.08600	3740.326770
0.1610000000	11465.13200	4855.603270
0.2010000000	10962.54000	5681.639405
0.2410000000	10276.24000	6261.739981
0.2810000000	9695.624000	6757.007307
0.3210000000	8888.490000	6943.635588
0.3610000000	8279.896000	7140.394193
0.4010000000	7596.544000	7145.665119
0.4410000000	6864.606000	6975.663571
0.4810000000	6223.178000	6777.904768
0.5210000000	5661.186000	6565.206733
0.5610000000	5064.708000	6219.337324
0.6010000000	4646.932000	6013.809221
0.6410000000	4279.316000	5812.746342
0.6810000000	3842.202000	5458.507637
0.7210000000	3407.446000	5047.369742
0.7610000000	3222.074000	4962.845656
0.8010000000	2758.644000	4407.603893
0.8410000000	2477.586000	4097.465180
0.8810000000	2144.354000	3663.781144
0.9210000000	2077.776000	3661.258110
0.9610000000	1722.112000	3124.765876
1.001000000	1579.578000	2947.214785
1.041000000	1586.484000	3039.956469
1.081000000	1266.932000	2490.242125
1.121000000	1197.228000	2411.353022
1.161000000	1035.612000	2135.276213
1.201000000	936.7800000	1975.508911
1.241000000	856.2900000	1845.389746
1.281000000	768.6000000	1691.459822
1.321000000	665.7840000	1495.136377
1.361000000	626.0600000	1433.715238
1.401000000	493.1520000	1150.958262
1.441000000	420.7720000	1000.245887
1.481000000	456.1480000	1103.853484
1.521000000	349.8300000	861.3638003
1.561000000	421.4700000	1055.384178
1.601000000	310.5940000	790.5926320
1.641000000	305.2260000	789.4204328
1.681000000	248.7880000	653.5272203
1.721000000	265.0340000	706.8245085
1.761000000	228.9300000	619.6181264
1.801000000	169.2940000	464.8540668
1.841000000	154.6440000	430.6357703
1.881000000	124.1460000	350.4818416
1.921000000	92.20800000	263.8250457
1.961000000	129.4260000	375.1864179
2.001000000	148.0740000	434.7608283
2.041000000	97.96800000	291.2552545
2.081000000	54.10600000	162.8278172
2.121000000	93.32400000	284.2166383
2.161000000	77.79600000	239.7006442
2.201000000	52.82400000	164.6209667
2.241000000	49.30200000	155.3637697
2.281000000	36.49600000	116.2664665
2.321000000	27.85200000	89.67790134
2.361000000	28.33200000	92.17755783
2.401000000	19.20800000	63.13226312
2.441000000	53.70200000	178.2734115
2.481000000	29.77200000	99.80219764
2.521000000	30.25200000	102.3846313
2.561000000	25.61000000	87.48933494
2.601000000	5.202000000	17.93497763
2.641000000	36.97400000	128.6281378
2.681000000	5.362000000	18.81931047
2.721000000	16.32600000	57.79985581
2.761000000	5.522000000	19.71745202
2.801000000	22.40800000	80.68767003
2.841000000	5.682000000	20.63015183
2.881000000	5.762000000	21.09232429
2.921000000	5.842000000	21.55863946
