#N_{tot} = 10^5
## X	 |N
0.04150050	74.00000
0.04650050	31.00000
0.05150050	59.00000
0.05650050	89.00000
0.06150050	185.0000
0.06650050	3366.000
0.07150050	4644.000
0.07650050	1265.000
0.08150050	169.0000
0.08650050	103.0000
0.09150050	53.00000
0.09650050	49.00000
0.1015005	55.00000
0.1065005	80.00000
0.1115005	96.00000
0.1165005	117.0000
0.1215005	1528.000
0.1265005	4432.000
0.1315005	3563.000
0.1365005	2523.000
0.1415005	659.0000
0.1465005	168.0000
0.1515005	65.00000
